Test Cases,Software Requirements
Check the export functionality for very large files.,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
"Verify if any field on the page has default focus, typically the first input field of the screen","API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check that database documentation is up-to-date and accurate,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check the API's ability to handle dynamic data visualization,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Test file uploads with different file types,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that DRM is implemented for protected content,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Verify that database audit logs are reviewed regularly,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check if the file selection dialog shows only supported files listed,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure that plain text emails are properly formatted and sent.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
"Verify email headers and footers contain the company logo, privacy policy, and other relevant links","System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that database security guidelines are documented,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that bind variables are used in SQL queries to prevent SQL injection,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Special characters in the email body template should be handled properly,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that microphone functionality works,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Verify that load balancing is working across RAC nodes,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that ADDM (Automatic Database Diagnostic Monitor) recommendations are reviewed and applied,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
"Ensure all table constraints, such as Primary key and Foreign key, are implemented correctly",Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that deferred loading is implemented for JavaScript,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that media playback controls enhance user experience,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
"Check for timeout functionality, ensuring timeout values are configurable and checking application behavior after the operation timeout",Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that database security patches are applied promptly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that Content Security Policy (CSP) is implemented,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check that the database is patched and updated as per the maintenance schedule,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure that clicking on search results leads to the correct page,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check search results pagination,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check the date format in exported files if they contain date columns.,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check that stored procedures perform the correct operations,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that backups are tested for restoration,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that the API supports multi-factor authentication if applicable,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
"Upon clicking an input text field, the mouse arrow pointer should change to a cursor","API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check that database data integrity measures are enforced,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check that the site's notifications are not duplicated or repeated.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that the API supports partial updates using PATCH method if applicable,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that the API handles resource tagging and categorization,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check that images are optimized for performance,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the API supports automated testing,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that media playback controls are customizable,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check that referral sources are tracked,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that database resource management is performed regularly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check if correct data is saved in the database upon a successful page submit,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that the API supports data transformation and mapping if applicable,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that the API responses include appropriate cache-control headers,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Verify that passwords are not stored in cookies.,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure that the site's notifications do not disrupt the user experience.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the site's notifications are properly formatted for different user promotions and discounts.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that media tracks are selectable,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check that the site's notifications are properly formatted for different user behaviors and interactions.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that the default values for columns are set correctly,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure that the sitemap is updated regularly,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Ensure that file upload functionality uses file type restrictions and includes antivirus scanning for uploaded files.,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Ensure that audit logs are maintained,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that media playback controls are visible,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check that the Oracle Enterprise Manager (OEM) is used for monitoring and management,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure the image upload progress bar appears for large size images,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check the API's ability to handle different character encodings,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that the forgot password functionality includes security features like temporary password expiration and security questions.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that database data retention measures are enforced,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that database cloning procedures are documented and tested,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
"When at least one filter criterion selection is not compulsory, the user should be able to submit the page, and the default search criteria should be used to query results",Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check image upload and change functionality,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check if file uploads work correctly,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that server response time is within acceptable range,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Ensure that the API properly logs and handles exceptions,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
"Verify the response time for any action under light, normal, moderate, and heavy load conditions.","System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that primary key constraints are enforced,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that database encryption measures are enforced,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check the API's ability to handle event-driven workflows,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check that preconnect is implemented,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that SQL Tuning Advisor is used to optimize SQL queries,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that data loading jobs are monitored and completed successfully,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check that the sitemap is accessible,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that downloadable files are pointing to the correct file paths,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that media playback controls are legible,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that the API handles redirection correctly if applicable,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Verify that the API handles file attachments correctly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that database security management procedures are followed,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that database auditing is enabled for critical operations,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Select/deselect all records option should be provided if the page supports record add/delete/update functionality,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that alert notifications are sent to the appropriate personnel,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check that the site's notifications are properly formatted for different user behaviors and patterns.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Email sender name should not be blank,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that the site's notifications are logged for audit purposes.,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that database queries are optimized,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check the duration of session cookies and session termination after timeout or logout.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that stored procedures are compiled without errors,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that database encryption is enabled for sensitive data,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Perform stress testing of the application.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that access privileges are correctly implemented.,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that PWA manifest file is present,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that roles and privileges are assigned correctly,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Test that contact forms on help pages submit correctly,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Ensure that Referrer-Policy header is set,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the API handles system performance monitoring,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check if the site supports multiple languages,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Default radio options should be pre-selected on page load,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that the API supports automated scaling mechanisms,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that the API responses include appropriate status codes for each HTTP method,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that language switching works correctly,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that the site's notifications are properly formatted for different user ratings and scores.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that alt text for images is descriptive,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure radio button and drop-down list options are saved correctly in the database,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that microphone permissions are handled correctly,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Ensure that user behavior on forms is tracked,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that the API handles data integrity and consistency checks,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that Oracle Wallet is configured for encryption key management,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that breadcrumbs are displayed correctly,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure the window is resizable,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure data integrity by checking that data is stored in single or multiple tables based on the design,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify the cancel button functionality works during the upload process,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Ensure that the site handles third-party script failures gracefully.,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check that database data authenticity measures are enforced,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the site's notifications are properly formatted for different languages and character sets.,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check that media formats are supported,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check the API's ability to return detailed error messages for debugging,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Ensure that the site's mobile push notifications are supported by different devices.,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check form validation for email fields,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that push notifications are not intrusive,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that PWA updates correctly,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that user events are tracked correctly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that media playback,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that database automation procedures are followed,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that the API handles user notification mechanisms,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Drop-down field values should be displayed in a defined sort order,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that database performance reports are generated and reviewed,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that database backup logs are reviewed regularly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
